"cc65","dummy",15,9,29,"Pass"
"gcc-6502","dummy",77,27,85,"Pass"
"kickc","dummy",1,2,12,"Pass"
"llvm-mos","dummy",29,15,61,"Pass"
"osdk-lcc65","dummy",192,12,37,"Pass"
"sdcc","dummy",18,10,32,"Pass"
"vbcc","dummy",15,9,29,"Pass"
"cc65","hello-world",197,889,3374,"Pass"
"gcc-6502","hello-world",165,229,858,"Pass"
"kickc","hello-world",60,228,873,"Pass"
"llvm-mos","hello-world",134,282,1031,"Pass"
"osdk-lcc65","hello-world",407,2679,8495,"Pass"
"sdcc","hello-world",77,237,880,"Pass"
"vbcc","hello-world",173,871,3163,"Pass"
"cc65","type-sizes",709,5057,18341,"Pass"
"gcc-6502","type-sizes",670,3280,11796,"Pass"
"kickc","type-sizes",417,3705,12540,"Pass"
"llvm-mos","type-sizes",252,959,3509,"Pass"
"osdk-lcc65","type-sizes",1219,12792,40873,"Pass"
"sdcc","type-sizes",724,3344,11716,"Pass"
"vbcc","type-sizes",796,5361,18877,"Pass"
"cc65","memcopy",94,196689,721210,"Pass"
"gcc-6502","memcopy",135,106681,344627,"Pass"
"kickc","memcopy",59,180265,532636,"Pass"
"llvm-mos","memcopy",99,245812,671944,"Pass"
"osdk-lcc65","memcopy",340,458814,1507551,"Pass"
"sdcc","memcopy",107,213044,770273,"Pass"
"vbcc","memcopy",98,180276,663776,"Pass"
"cc65","sieve",243,1099953,3909068,"Pass"
"gcc-6502","sieve",196,745643,2256264,"Pass"
"kickc","sieve",16502,641084,1861756,"Pass"
"llvm-mos","sieve",163,914109,2559437,"Pass"
"osdk-lcc65","sieve",16842,1556520,4547209,"Pass"
"sdcc","sieve",16566,794276,2473428,"Pass"
"vbcc","sieve",244,1159945,4027294,"Pass"
"cc65","aes256",6655,9760800,34755436,"Pass"
"gcc-6502","aes256",7606,5026344,14014726,"Pass"
"kickc","aes256",0,0,0,"FAIL"
"llvm-mos","aes256",4020,3596660,9707954,"Pass"
"osdk-lcc65","aes256",14340,29780293,84684177,"Pass"
"sdcc","aes256",0,0,0,"FAIL"
"vbcc","aes256",8605,12837450,41557230,"Pass"
"cc65","mandelbrot",972,6262203,22240725,"Pass"
"gcc-6502","mandelbrot",1775,2811811,10111503,"Pass"
"kickc","mandelbrot",0,0,0,"FAIL"
"llvm-mos","mandelbrot",1154,1159502,3696330,"Pass"
"osdk-lcc65","mandelbrot",863,51159807,180732758,"Pass"
"sdcc","mandelbrot",1208,12801384,44706483,"Pass"
"vbcc","mandelbrot",919,4916024,18153068,"Pass"
"cc65","bytecpy",21,11,37,"Pass"
"gcc-6502","bytecpy",83,29,93,"Pass"
"kickc","bytecpy",7,4,20,"Pass"
"llvm-mos","bytecpy",35,17,69,"Pass"
"osdk-lcc65","bytecpy",202,16,51,"Pass"
"sdcc","bytecpy",24,12,40,"Pass"
"vbcc","bytecpy",21,11,37,"Pass"
"cc65","frogmove",2083,88039489,300000004,"Run time elapsed"
"gcc-6502","frogmove",2172,91714462,300000005,"Run time elapsed"
"kickc","frogmove",1539,94056022,300000000,"Run time elapsed"
"llvm-mos","frogmove",1695,96453078,300000002,"Run time elapsed"
"osdk-lcc65","frogmove",2692,95380282,300000000,"Run time elapsed"
"sdcc","frogmove",3102,18,67,"Pass"
"vbcc","frogmove",2208,90666315,300000001,"Run time elapsed"
"cc65","pi",0,0,0,"FAIL"
"gcc-6502","pi",0,0,0,"FAIL"
"kickc","pi",0,0,0,"FAIL"
"llvm-mos","pi",0,0,0,"FAIL"
"osdk-lcc65","pi",2775,550299,1877328,"Pass"
"sdcc","pi",0,0,0,"FAIL"
"vbcc","pi",7319,31310670,114635487,"Pass"
"cc65","bubble-sort",1125,19677,64988,"Pass"
"gcc-6502","bubble-sort",1028,12964,44728,"Pass"
"kickc","bubble-sort",0,0,0,"FAIL"
"llvm-mos","bubble-sort",1668,6220,18329,"Pass"
"osdk-lcc65","bubble-sort",1569,21954,70180,"Pass"
"sdcc","bubble-sort",1369,4088,12595,"Pass"
"vbcc","bubble-sort",1140,16659,55338,"Pass"
"cc65","selection-sort",1114,17060,56842,"Pass"
"gcc-6502","selection-sort",1197,13719,46923,"Pass"
"kickc","selection-sort",0,0,0,"FAIL"
"llvm-mos","selection-sort",1761,6137,18545,"Pass"
"osdk-lcc65","selection-sort",1631,21509,69324,"Pass"
"sdcc","selection-sort",1463,4457,14476,"Pass"
"vbcc","selection-sort",1194,14947,50455,"Pass"
"cc65","insertion-sort",1078,13700,45315,"Pass"
"gcc-6502","insertion-sort",1080,12311,43666,"Pass"
"kickc","insertion-sort",0,0,0,"FAIL"
"llvm-mos","insertion-sort",1798,5802,17261,"Pass"
"osdk-lcc65","insertion-sort",1535,18561,60071,"Pass"
"sdcc","insertion-sort",1352,1480,4891,"Pass"
"vbcc","insertion-sort",1075,13127,44560,"Pass"
"cc65","merge-sort",1942,21111,69742,"Pass"
"gcc-6502","merge-sort",2011,17390,58262,"Pass"
"kickc","merge-sort",0,0,0,"FAIL"
"llvm-mos","merge-sort",2975,99999999,300000000,"Run time elapsed"
"osdk-lcc65","merge-sort",2794,32087,102917,"Pass"
"sdcc","merge-sort",2192,1386,4657,"Pass"
"vbcc","merge-sort",1905,21037,70462,"Pass"
"cc65","quick-sort",1374,16767,55848,"Pass"
"gcc-6502","quick-sort",1376,13647,46944,"Pass"
"kickc","quick-sort",0,0,0,"FAIL"
"llvm-mos","quick-sort",1966,6191,18901,"Pass"
"osdk-lcc65","quick-sort",2025,24108,78699,"Pass"
"sdcc","quick-sort",1582,7085,23989,"Pass"
"vbcc","quick-sort",1488,15478,52335,"Pass"
"cc65","counting-sort",1609,33294,108689,"Pass"
"gcc-6502","counting-sort",1819,24466,83027,"Pass"
"kickc","counting-sort",0,0,0,"FAIL"
"llvm-mos","counting-sort",2592,100000008,300000001,"Run time elapsed"
"osdk-lcc65","counting-sort",2753,31478,98445,"Pass"
"sdcc","counting-sort",2500,3516,11185,"Pass"
"vbcc","counting-sort",1645,23836,78859,"Pass"
"cc65","radix-sort",2072,79763,262356,"Pass"
"gcc-6502","radix-sort",2532,95804,335121,"Pass"
"kickc","radix-sort",0,0,0,"FAIL"
"llvm-mos","radix-sort",3417,100000018,300000000,"Run time elapsed"
"osdk-lcc65","radix-sort",3665,101790,337941,"Pass"
"sdcc","radix-sort",3227,1615,5479,"Pass"
"vbcc","radix-sort",2738,94666,317502,"Pass"
"cc65","shell-sort",1271,15765,52238,"Pass"
"gcc-6502","shell-sort",1305,13701,46662,"Pass"
"kickc","shell-sort",0,0,0,"FAIL"
"llvm-mos","shell-sort",2069,7084,21288,"Pass"
"osdk-lcc65","shell-sort",1680,21265,68542,"Pass"
"sdcc","shell-sort",1514,3028,10043,"Pass"
"vbcc","shell-sort",1182,15354,51749,"Pass"
"cc65","heap-sort",1552,22678,75680,"Pass"
"gcc-6502","heap-sort",1719,15850,53887,"Pass"
"kickc","heap-sort",0,0,0,"FAIL"
"llvm-mos","heap-sort",2091,8099,24585,"Pass"
"osdk-lcc65","heap-sort",2252,33392,107994,"Pass"
"sdcc","heap-sort",1918,3688,12271,"Pass"
"vbcc","heap-sort",1596,20002,67964,"Pass"
