"cc65","dummy",15,9,29,0
"gcc-6502","dummy",77,27,85,0
"kickc","dummy",1,2,12,0
"llvm-mos","dummy",29,15,61,0
"osdk-lcc65","dummy",192,12,37,0
"sdcc","dummy",18,10,32,0
"vbcc","dummy",15,9,29,0
"cc65","hello-world",202,1037,3966,0
"gcc-6502","hello-world",165,229,858,0
"kickc","hello-world",60,228,873,0
"llvm-mos","hello-world",134,282,1031,0
"osdk-lcc65","hello-world",407,2679,8495,0
"sdcc","hello-world",77,237,880,0
"vbcc","hello-world",99,246,943,0
"cc65","type-sizes",727,5573,20409,0
"gcc-6502","type-sizes",670,3280,11796,0
"kickc","type-sizes",425,3721,12588,0
"llvm-mos","type-sizes",252,959,3509,0
"osdk-lcc65","type-sizes",1219,12792,40873,0
"sdcc","type-sizes",724,3344,11716,0
"vbcc","type-sizes",655,2949,10289,0
"cc65","memcopy",94,196689,721210,0
"gcc-6502","memcopy",135,106681,344627,0
"kickc","memcopy",62,188460,557220,0
"llvm-mos","memcopy",103,245812,671944,0
"osdk-lcc65","memcopy",340,458814,1507551,0
"sdcc","memcopy",107,213044,770273,0
"vbcc","memcopy",93,180272,647376,0
"cc65","sieve",1110,3374944,10992453,0
"gcc-6502","sieve",1025,2991094,10374089,0
"kickc","sieve",0,0,0,1
"llvm-mos","sieve",4289,99925797,300000000,2
"osdk-lcc65","sieve",9745,4812053,16502355,0
"sdcc","sieve",9747,5509255,19108109,0
"vbcc","sieve",918,3128976,10134340,0
"cc65","aes256",6303,9797558,34768201,0
"gcc-6502","aes256",7606,5026344,14014726,0
"kickc","aes256",0,0,0,1
"llvm-mos","aes256",10574,3972015,10746121,0
"osdk-lcc65","aes256",14340,29780293,84684177,0
"sdcc","aes256",0,0,0,1
"vbcc","aes256",4927,5158551,15502061,0
"cc65","mandelbrot",954,6289718,22340480,0
"gcc-6502","mandelbrot",1775,2811811,10111503,0
"kickc","mandelbrot",0,0,0,1
"llvm-mos","mandelbrot",2114,1161994,3700233,0
"osdk-lcc65","mandelbrot",863,51159807,180732758,0
"sdcc","mandelbrot",1208,12801384,44706483,0
"vbcc","mandelbrot",1087,4796740,17771163,0
"cc65","bytecpy",21,11,37,0
"gcc-6502","bytecpy",83,29,93,0
"kickc","bytecpy",7,4,20,0
"llvm-mos","bytecpy",35,17,69,0
"osdk-lcc65","bytecpy",202,16,51,0
"sdcc","bytecpy",24,12,40,0
"vbcc","bytecpy",21,11,37,0
"cc65","frogmove",2131,5331854,19650251,0
"gcc-6502","frogmove",2274,1341559,4386499,0
"kickc","frogmove",1607,1589935,5066190,3
"llvm-mos","frogmove",2514,2500527,7723210,0
"osdk-lcc65","frogmove",2924,4686437,14741222,0
"sdcc","frogmove",3161,18,67,3
"vbcc","frogmove",1802,2389547,7489253,0
"cc65","pi",1531,33383599,122047814,0
"gcc-6502","pi",2244,34712909,129853690,0
"kickc","pi",0,0,0,1
"llvm-mos","pi",5018,99979537,300000001,2
"osdk-lcc65","pi",2785,11116565,37993365,3
"sdcc","pi",5081,82114562,274557082,0
"vbcc","pi",1410,29091944,106479957,0
"cc65","bubble-sort",1095,21893,75609,0
"gcc-6502","bubble-sort",1028,12964,44728,0
"kickc","bubble-sort",0,0,0,1
"llvm-mos","bubble-sort",4458,5590,16411,0
"osdk-lcc65","bubble-sort",1569,21954,70180,0
"sdcc","bubble-sort",1369,4088,12595,3
"vbcc","bubble-sort",966,13377,43812,0
"cc65","selection-sort",1092,18713,64427,0
"gcc-6502","selection-sort",1197,13719,46923,0
"kickc","selection-sort",0,0,0,1
"llvm-mos","selection-sort",4580,5749,16764,0
"osdk-lcc65","selection-sort",1631,21509,69324,0
"sdcc","selection-sort",1463,4457,14476,3
"vbcc","selection-sort",953,12160,40313,0
"cc65","insertion-sort",1051,14899,51906,0
"gcc-6502","insertion-sort",1080,12311,43666,0
"kickc","insertion-sort",0,0,0,1
"llvm-mos","insertion-sort",4731,5205,15445,0
"osdk-lcc65","insertion-sort",1535,18561,60071,0
"sdcc","insertion-sort",1352,1480,4891,3
"vbcc","insertion-sort",936,11271,37325,0
"cc65","merge-sort",1664,25993,89072,0
"gcc-6502","merge-sort",2011,17390,58262,0
"kickc","merge-sort",0,0,0,1
"llvm-mos","merge-sort",5595,99999999,300000002,2
"osdk-lcc65","merge-sort",2794,32087,102917,0
"sdcc","merge-sort",2192,1386,4657,3
"vbcc","merge-sort",1695,17876,58664,0
"cc65","quick-sort",1205,18272,62897,0
"gcc-6502","quick-sort",1376,13647,46944,0
"kickc","quick-sort",0,0,0,1
"llvm-mos","quick-sort",4814,5501,16735,0
"osdk-lcc65","quick-sort",2025,24108,78699,0
"sdcc","quick-sort",1582,7085,23989,3
"vbcc","quick-sort",1275,12879,42955,0
"cc65","counting-sort",1480,37875,130535,0
"gcc-6502","counting-sort",1819,24466,83027,0
"kickc","counting-sort",0,0,0,1
"llvm-mos","counting-sort",5243,100000008,300000004,2
"osdk-lcc65","counting-sort",2753,31478,98445,0
"sdcc","counting-sort",2500,3516,11185,3
"vbcc","counting-sort",1307,18332,59433,0
"cc65","radix-sort",1810,87020,290199,0
"gcc-6502","radix-sort",2532,95804,335121,0
"kickc","radix-sort",0,0,0,1
"llvm-mos","radix-sort",6668,99999992,300000002,2
"osdk-lcc65","radix-sort",3665,101790,337941,0
"sdcc","radix-sort",3227,1615,5479,3
"vbcc","radix-sort",2006,79183,262727,0
"cc65","shell-sort",1126,17893,61201,0
"gcc-6502","shell-sort",1305,13701,46662,0
"kickc","shell-sort",0,0,0,1
"llvm-mos","shell-sort",5612,5896,17521,0
"osdk-lcc65","shell-sort",1680,21265,68542,0
"sdcc","shell-sort",1514,3028,10043,3
"vbcc","shell-sort",1114,13293,43820,0
"cc65","heap-sort",1301,25830,90205,0
"gcc-6502","heap-sort",1719,15850,53887,0
"kickc","heap-sort",0,0,0,1
"llvm-mos","heap-sort",5168,7678,23111,0
"osdk-lcc65","heap-sort",2252,33392,107994,0
"sdcc","heap-sort",1918,3688,12271,3
"vbcc","heap-sort",1398,15273,49946,0
