"cc65","type-sizes",1,2,2,4
"llvm-mos","type-sizes",1,2,2,4
"vbcc","type-sizes",1,2,2,4
"osdk-lcc65","type-sizes",1,1,2,2
"osdk-lcc65-ng","type-sizes",1,1,2,2
"kickc","type-sizes",1,2,2,4
"sdcc","type-sizes",1,2,2,4
"cc65","dummy",15,9,29,0
"llvm-mos","dummy",41,23,84,0
"vbcc","dummy",15,9,29,0
"osdk-lcc65","dummy",192,12,37,0
"osdk-lcc65-ng","dummy",192,12,37,0
"kickc","dummy",1,2,12,0
"sdcc","dummy",283,102900,327439,0
"cc65","hello-world",197,889,3374,0
"llvm-mos","hello-world",150,292,1060,0
"vbcc","hello-world",99,246,943,0
"osdk-lcc65","hello-world",407,2679,8495,0
"osdk-lcc65-ng","hello-world",357,2310,7261,0
"kickc","hello-world",60,228,873,0
"sdcc","hello-world",342,105723,334158,0
"cc65","bytecpy",21,11,37,0
"llvm-mos","bytecpy",47,25,92,0
"vbcc","bytecpy",21,11,37,0
"osdk-lcc65","bytecpy",202,16,51,0
"osdk-lcc65-ng","bytecpy",198,14,45,0
"kickc","bytecpy",7,4,20,0
"sdcc","bytecpy",289,103166,325951,0
"cc65","memcopy",94,196689,721210,0
"llvm-mos","memcopy",127,311609,910039,0
"vbcc","memcopy",93,180272,647376,0
"osdk-lcc65","memcopy",340,458814,1507551,0
"osdk-lcc65-ng","memcopy",284,245813,844005,0
"kickc","memcopy",62,188460,557220,0
"sdcc","memcopy",372,319850,1107721,0
"cc65","0xcafe",391,948,3593,0
"llvm-mos","0xcafe",184,308,1118,0
"vbcc","0xcafe",321,338,1263,0
"osdk-lcc65","0xcafe",0,0,0,1
"osdk-lcc65-ng","0xcafe",812,2946,9271,0
"kickc","0xcafe",119,224,878,0
"sdcc","0xcafe",0,0,0,1
"cc65","sieve",1115,3196329,10318407,0
"llvm-mos","sieve",1362,2192393,6786242,0
"vbcc","sieve",831,2320411,7559299,0
"osdk-lcc65","sieve",9745,4812053,16502355,0
"osdk-lcc65-ng","sieve",9443,4297200,15327977,0
"kickc","sieve",0,0,0,1
"sdcc","sieve",10012,6040335,20788032,0
"cc65","aes256",6624,10230963,35663969,0
"llvm-mos","aes256",4341,3600113,9718790,0
"vbcc","aes256",5238,5155340,15505793,0
"osdk-lcc65","aes256",14340,29780293,84684177,0
"osdk-lcc65-ng","aes256",11470,15788215,46215416,0
"kickc","aes256",0,0,0,1
"sdcc","aes256",0,0,0,1
"cc65","mandelbrot",982,6272578,22261475,0
"llvm-mos","mandelbrot",1038,2697896,8939428,0
"vbcc","mandelbrot",1119,2839955,10366252,0
"osdk-lcc65","mandelbrot",863,51159807,180732758,0
"osdk-lcc65-ng","mandelbrot",711,48516502,167279520,0
"kickc","mandelbrot",0,0,0,1
"sdcc","mandelbrot",1481,12957001,45226206,0
"cc65","frogmove",2097,4351734,14813374,0
"llvm-mos","frogmove",1903,2171374,6681292,0
"vbcc","frogmove",1816,2505599,7834835,0
"osdk-lcc65","frogmove",2807,4677665,14701662,0
"osdk-lcc65-ng","frogmove",2437,2795279,9219626,0
"kickc","frogmove",1615,1600503,5085372,0
"sdcc","frogmove",3375,238990,755063,3
"cc65","pi",1558,33127956,118495666,0
"llvm-mos","pi",2098,22168590,71941172,0
"vbcc","pi",1472,28920219,106033280,0
"osdk-lcc65","pi",2785,11116565,37993365,3
"osdk-lcc65-ng","pi",2409,10550062,36642653,3
"kickc","pi",0,0,0,1
"sdcc","pi",5380,82441780,276160049,0
"cc65","shuffle",1897,919893,3155071,0
"llvm-mos","shuffle",2428,475322,1518700,0
"vbcc","shuffle",1543,826898,2893997,0
"osdk-lcc65","shuffle",2263,913833,3023907,0
"osdk-lcc65-ng","shuffle",1919,840422,2794947,0
"kickc","shuffle",0,0,0,1
"sdcc","shuffle",3396,1879789,6438375,3
"cc65","bubble-sort",1614,6746120,22300237,0
"llvm-mos","bubble-sort",1815,1740613,5036778,0
"vbcc","bubble-sort",1508,1617211,5568550,0
"osdk-lcc65","bubble-sort",2061,5078640,15239177,0
"osdk-lcc65-ng","bubble-sort",1704,3529930,10678821,0
"kickc","bubble-sort",0,0,0,1
"sdcc","bubble-sort",2618,2482417,7550954,3
"cc65","selection-sort",1603,3774014,12643194,0
"llvm-mos","selection-sort",1892,1618305,4813455,0
